name,lat,lon,capacity,grade
The Mall Athens (Marousi),38.0402,23.7880,1500,5
Golden Hall (Marousi),38.0340,23.7930,1200,5
River West (Egaleo),37.9840,23.6790,1000,5
Athens Metro Mall (Ag. Dimitrios),37.9290,23.7410,800,4
McArthurGlen Designer Outlet (Spata),37.9877,23.9109,700,4
Syntagma Underground,37.9756,23.7345,850,5
Acropolis Parking,37.9690,23.7270,400,5
Kolonaki Parking,37.9770,23.7440,300,4
Polis Park Pagrati,37.9700,23.7470,350,4
Sklavenitis Peristeri,38.0050,23.6910,400,4
AB Vassilopoulos Kypseli,37.9950,23.7340,280,4
